Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewByteChannelTest,seekablePositionRead,Magic Number,The method contains a magic number: 3,120
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewByteChannelTest,seekablePositionWrite,Long Statement,The length of the statement "try (SeekableByteChannel seekable=s3fsProvider.newByteChannel(base.resolve("file")`EnumSet.of(StandardOpenOption.WRITE))){" is 122.,148
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewByteChannelTest,seekablePositionWrite,Magic Number,The method contains a magic number: 5,148
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewByteChannelTest,seekablePositionWrite,Magic Number,The method contains a magic number: 5,148
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewByteChannelTest,seekableIsOpen,Long Statement,The length of the statement "try (SeekableByteChannel seekable=s3fsProvider.newByteChannel(base.resolve("file")`EnumSet.of(StandardOpenOption.WRITE))){" is 122.,176
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewByteChannelTest,seekableRead,Magic Number,The method contains a magic number: 7,200
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewByteChannelTest,seekableReadPartialContent,Magic Number,The method contains a magic number: 4,225
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewByteChannelTest,seekableReadPartialContent,Magic Number,The method contains a magic number: 3,225
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewByteChannelTest,seekableTruncate,Long Statement,The length of the statement "try (SeekableByteChannel seekable=s3fsProvider.newByteChannel(file`EnumSet.of(StandardOpenOption.WRITE`StandardOpenOption.READ))){" is 130.,249
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewByteChannelTest,seekableTruncate,Magic Number,The method contains a magic number: 3,249
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewByteChannelTest,seekableTruncateGreaterThanSize,Long Statement,The length of the statement "try (SeekableByteChannel seekable=s3fsProvider.newByteChannel(file`EnumSet.of(StandardOpenOption.WRITE`StandardOpenOption.READ))){" is 130.,271
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewByteChannelTest,seekableTruncateGreaterThanSize,Magic Number,The method contains a magic number: 10,271
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewDirectoryStreamTest,directoryStreamWithFilter,Long Statement,The length of the statement "client.bucket("bucketA").dir("dir1").file("dir/file1.txt"`"content".getBytes()).file("dir/file2.sql"`"content".getBytes()).file("dir/file3.txt"`"content".getBytes()).file("dir/file4.sql"`"content".getBytes()).file("dir/tmp_file.txt"`"content".getBytes());" is 255.,107
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewDirectoryStreamTest,list999Paths,Magic Number,The method contains a magic number: 999,136
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewFileSystemIT,setup,Empty catch clause,The method has an empty catch block.,39
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewFileSystemTest,misconfigure,Long Statement,The length of the statement "Exception exception=assertThrows(S3FileSystemConfigurationException.class`() -> s3fsProvider.createFileSystem(S3EndpointConstant.S3_GLOBAL_URI_TEST`props));" is 156.,52
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewFileSystemTest,newS3FileSystemWithCustomHostAndBucket,Long Statement,The length of the statement "FileSystem s3fs=s3fsProvider.newFileSystem(URI.create("s3://access-key:secret-key@my.ceph.storage/bucket")`ImmutableMap.of());" is 126.,93
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewFileSystemTest,createsAuthenticatedByEnv,Long Statement,The length of the statement "verify(s3fsProvider).createFileSystem(eq(uri)`eq(buildFakeProps((String)env.get(ACCESS_KEY)`(String)env.get(SECRET_KEY))));" is 123.,102
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewFileSystemTest,setEncodingByProperties,Long Statement,The length of the statement "verify(s3fsProvider).createFileSystem(eq(uri)`eq(buildFakeProps("better_access_key"`"better_secret_key"`StandardCharsets.UTF_8.toString())));" is 141.,118
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewFileSystemTest,createWithWrongEnv,Long Statement,The length of the statement "final Map<String`Object> env=ImmutableMap.<String`Object>builder().put(ACCESS_KEY`1234).put(SECRET_KEY`"secret key").build();" is 125.,269
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewFileSystemTest,createWithWrongEnv,Magic Number,The method contains a magic number: 1234,269
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewFileSystemTest,createTwoFileSystemThrowError,Long Statement,The length of the statement "Exception exception=assertThrows(FileSystemAlreadyExistsException.class`() -> provider.newFileSystem(S3EndpointConstant.S3_GLOBAL_URI_TEST`env));" is 145.,339
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewOutputStreamTest,outputStreamWithCreateNewAndFileExists,Long Statement,The length of the statement "final Exception exception=assertThrows(FileAlreadyExistsException.class`() -> s3fsProvider.newOutputStream(file`StandardOpenOption.CREATE_NEW));" is 144.,145
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewOutputStreamTest,outputStreamWithCreateAndFileExists,Long Statement,The length of the statement "final Exception exception=assertThrows(FileAlreadyExistsException.class`() -> s3fsProvider.newOutputStream(file`StandardOpenOption.CREATE));" is 140.,160
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewOutputStreamTest,getS3Directory,Long Statement,The length of the statement "final Map<String`Object> envMap=ImmutableMap.<String`Object>builder().put(ACCESS_KEY`"access_key").put(SECRET_KEY`"secret_key").build();" is 136.,196
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,ReadAttributesTest,readAttributesDirectory,Long Statement,The length of the statement "assertEquals(expectedAttributes.lastModifiedTime().to(TimeUnit.SECONDS)`fileAttributes.lastModifiedTime().to(TimeUnit.SECONDS));" is 128.,103
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,ReadAttributesTest,readAttributesDirectory,Long Statement,The length of the statement "assertEquals(expectedAttributes.lastAccessTime().to(TimeUnit.SECONDS)`fileAttributes.lastAccessTime().to(TimeUnit.SECONDS));" is 124.,103
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,ReadAttributesTest,readAttributesDirectory,Long Statement,The length of the statement "assertEquals(fileAttributes.lastAccessTime().to(TimeUnit.SECONDS)`fileAttributes.lastModifiedTime().to(TimeUnit.SECONDS));" is 122.,103
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,ReadAttributesTest,readAttributesDirectoryNotExistsAtAmazon,Long Statement,The length of the statement "assertEquals(expectedAttributes.lastModifiedTime().to(TimeUnit.SECONDS)`fileAttributes.lastModifiedTime().to(TimeUnit.SECONDS));" is 128.,139
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,ReadAttributesTest,readAttributesDirectoryNotExistsAtAmazon,Long Statement,The length of the statement "assertEquals(expectedAttributes.lastAccessTime().to(TimeUnit.SECONDS)`fileAttributes.lastAccessTime().to(TimeUnit.SECONDS));" is 124.,139
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,ReadAttributesTest,readAttributesDirectoryNotExistsAtAmazon,Long Statement,The length of the statement "assertEquals(fileAttributes.lastAccessTime().to(TimeUnit.SECONDS)`fileAttributes.lastModifiedTime().to(TimeUnit.SECONDS));" is 122.,139
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,ReadAttributesTest,readPosixPermissionOwnerWriteAttributes,Long Statement,The length of the statement "S3MockFactory.getS3ClientMock().bucket("bucketA").file("file"`"content".getBytes()`build("posix:permissions"`Sets.newHashSet(PosixFilePermission.OWNER_READ`PosixFilePermission.OWNER_WRITE)));" is 191.,279
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,ReadAttributesTest,readPosixPermissionOwnerExecuteAttributes,Long Statement,The length of the statement "S3MockFactory.getS3ClientMock().bucket("bucketA").file("file"`"content".getBytes()`build("posix:permissions"`Sets.newHashSet(PosixFilePermission.OWNER_READ`PosixFilePermission.OWNER_EXECUTE)));" is 193.,301
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,ReadAttributesTest,readPosixPermissionGroupWriteAttributes,Long Statement,The length of the statement "S3MockFactory.getS3ClientMock().bucket("bucketA").file("file"`"content".getBytes()`build("posix:permissions"`Sets.newHashSet(PosixFilePermission.OWNER_READ`PosixFilePermission.GROUP_WRITE)));" is 191.,323
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,ReadAttributesTest,readPosixPermissionGroupExecuteAttributes,Long Statement,The length of the statement "S3MockFactory.getS3ClientMock().bucket("bucketA").file("file"`"content".getBytes()`build("posix:permissions"`Sets.newHashSet(PosixFilePermission.OWNER_READ`PosixFilePermission.GROUP_EXECUTE)));" is 193.,345
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,ReadAttributesTest,readPosixPermissionOtherWriteAttributes,Long Statement,The length of the statement "S3MockFactory.getS3ClientMock().bucket("bucketA").file("file"`"content".getBytes()`build("posix:permissions"`Sets.newHashSet(PosixFilePermission.OWNER_READ`PosixFilePermission.OTHERS_WRITE)));" is 192.,367
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,ReadAttributesTest,readPosixPermissionOwnerAndGroupAttributes,Long Statement,The length of the statement "S3MockFactory.getS3ClientMock().bucket("bucketA").file("file"`"content".getBytes()`build("posix:permissions"`Sets.newHashSet(PosixFilePermission.OWNER_READ)));" is 159.,391
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,ReadAttributesTest,readAttributesPartial,Magic Number,The method contains a magic number: 2,483
s3fs-nio,org.carlspring.cloud.storage.s3fs.path,GetNameTest,getNames,Magic Number,The method contains a magic number: 2,63
s3fs-nio,org.carlspring.cloud.storage.s3fs.path,GetNameTest,getNameOutOfIndex,Magic Number,The method contains a magic number: 3,73
s3fs-nio,org.carlspring.cloud.storage.s3fs.path,ResolveSiblingTest,resolveSibling,Long Statement,The length of the statement "assertEquals(getPath("/bucket/path/to/file").resolveSibling(getPath("other/child"))`getPath("/bucket/path/to/other/child"));" is 124.,42
s3fs-nio,org.carlspring.cloud.storage.s3fs.path,ResolveSiblingTest,resolveSibling,Long Statement,The length of the statement "assertEquals(getPath("/bucket/path/to/file").resolveSibling(getPath("/bucket2/other/child"))`getPath("/bucket2/other/child"));" is 126.,42
s3fs-nio,org.carlspring.cloud.storage.s3fs.path,S3PathTest,normalize,Long Statement,The length of the statement "assertEquals(forPath("/bucket/path/to/")`forPath("/bucket/././././././foo/./././../././bar/./././../path/./to/././").normalize());" is 130.,104
s3fs-nio,org.carlspring.cloud.storage.s3fs.path,S3PathTest,nameCount,Magic Number,The method contains a magic number: 3,129
s3fs-nio,org.carlspring.cloud.storage.s3fs.path,SubpathTest,subPath,Magic Number,The method contains a magic number: 2,50
s3fs-nio,org.carlspring.cloud.storage.s3fs.path,SubpathTest,subPath,Magic Number,The method contains a magic number: 3,50
s3fs-nio,org.carlspring.cloud.storage.s3fs.path,SubpathTest,subPath,Magic Number,The method contains a magic number: 2,50
s3fs-nio,org.carlspring.cloud.storage.s3fs.path,SubpathTest,subPath,Magic Number,The method contains a magic number: 3,50
s3fs-nio,org.carlspring.cloud.storage.s3fs.path,SubpathTest,subPath,Magic Number,The method contains a magic number: 2,50
s3fs-nio,org.carlspring.cloud.storage.s3fs.path,SubpathTest,subPath,Magic Number,The method contains a magic number: 3,50
s3fs-nio,org.carlspring.cloud.storage.s3fs.path,SubpathTest,subPathOutOfRange,Magic Number,The method contains a magic number: 4,60
s3fs-nio,org.carlspring.cloud.storage.s3fs.spike,InstallProviderTest,cleanup,Empty catch clause,The method has an empty catch block.,43
s3fs-nio,org.carlspring.cloud.storage.s3fs.spike,InstallProviderTest,useZipProvider,Long Statement,The length of the statement "FileSystem fs=FileSystems.newFileSystem(URI.create("jar:file:" + pathFinal)`new HashMap<>()`this.getClass().getClassLoader());" is 126.,57
s3fs-nio,org.carlspring.cloud.storage.s3fs.spike,InstallProviderTest,useAlternativeZipProvider,Long Statement,The length of the statement "FileSystem fs=FileSystems.newFileSystem(URI.create("zipfs:file:" + pathFinal)`new HashMap<>()`this.getClass().getClassLoader());" is 128.,87
s3fs-nio,org.carlspring.cloud.storage.s3fs.spike,ProviderSpecTest,readNothing,Long Statement,The length of the statement "try (SeekableByteChannel seekable=Files.newByteChannel(Files.createFile(base.resolve("file1.html"))`EnumSet.of(StandardOpenOption.DELETE_ON_CLOSE))){" is 149.,39
s3fs-nio,org.carlspring.cloud.storage.s3fs.spike,ProviderSpecTest,seekable,Long Statement,The length of the statement "try (SeekableByteChannel seekable=Files.newByteChannel(base.resolve("file1.html")`EnumSet.of(StandardOpenOption.CREATE`StandardOpenOption.WRITE`StandardOpenOption.READ))){" is 171.,55
s3fs-nio,org.carlspring.cloud.storage.s3fs.spike,ProviderSpecTest,seekable,Magic Number,The method contains a magic number: 7,55
s3fs-nio,org.carlspring.cloud.storage.s3fs.spike,ProviderSpecTest,seekable,Magic Number,The method contains a magic number: 7,55
s3fs-nio,org.carlspring.cloud.storage.s3fs.spike,ProviderSpecTest,seekableRead,Magic Number,The method contains a magic number: 4096,79
s3fs-nio,org.carlspring.cloud.storage.s3fs.spike,URISpikeTest,test,Long Statement,The length of the statement "System.out.println("Bucket:" + Splitter.on("/").omitEmptyStrings().splitToList(URI.create(s3case).normalize().toString()).get(0));" is 130.,22
